locale_code,bespoke_i18n,creator_en,creator_i18n,en,localized_child
af-ZA,2,0,3,0,0
ar,1760,0,31877,0,16195
ar-AE,2196,0,942,0,260
ar-EG,1404,0,17986,0,8528
ar-SA,1050,0,18708,0,167
as-IN,0,0,198,0,0
az-AZ,0,0,3,0,0
be-BY,0,0,8,0,0
bh-IN,0,0,26,0,1
bn-BD,0,0,6,0,3
bs-BA,0,0,1,0,0
ca-ES,0,0,1619,0,0
ceb-PH,0,0,15,0,0
co-FR,0,0,1,0,0
cs-CZ,0,0,430,0,8325
da-DK,16,0,18,0,6762
de-DE,9672,0,47765,0,65723
el-GR,0,0,3,0,5838
en,4314,4456586,0,204455,364
en-AU,21,17010,0,926,87
en-GB,157,220978,0,845,380
en-IN,5285,219027,0,3961,24249
en-OZ,0,73,0,3,0
en-PH,3672,47856,0,5083,6397
en-psaccent,0,3,0,4,0
en-UK,0,16,0,22,0
es-419,50,0,185844,0,986
es-AR,4666,0,65358,0,46032
es-CO,4563,0,34068,0,52221
es-ES,8172,0,159547,0,60365
es-MX,4143,0,120300,0,49672
es-US,0,0,925,0,0
et-EE,0,0,1,0,0
eu-ES,0,0,16,0,0
fi-FI,0,0,9,0,0
fr-BE,0,0,197,0,0
fr-CA,1053,0,79,0,17812
fr-FR,3566,0,67093,0,46726
fr-fR,0,0,0,0,309
fr-fr,0,0,0,0,3
fy-NL,26,0,2,0,67
gl-ES,1,0,104,0,0
gu-IN,0,0,3,0,0
ha-NG,0,0,1,0,0
he-IL,0,0,423,0,0
hi-IN,1546,0,460,0,20425
hr-HR,0,0,11,0,0
hu-HU,0,0,3,0,7331
hy-AM,0,0,0,0,2
id-ID,7163,0,563519,0,56171
ig-NG,0,0,2,0,0
is-IS,0,0,3,0,0
it-IT,7889,0,60011,0,46851
it-it,0,0,0,0,2
ja-Hira,0,0,19,0,0
ja-JP,6482,0,100580,0,60543
jv-ID,0,0,113,0,1
ka-GE,1,0,0,0,0
kk-KZ,0,0,1,0,0
kl-GL,0,0,3,0,0
kn-IN,0,0,1,0,0
ko-KR,5891,0,81256,0,38596
ku-TR,1,0,11,0,0
lt-LT,0,0,1,0,0
ma-IN,0,0,1,0,0
ml-IN,0,0,2,0,0
mn-MN,0,0,1,0,0
mr-IN,0,0,7,0,2
ms-MY,19,0,1096,0,22762
nb-NO,0,0,130,0,7120
ne-NP,0,0,1,0,0
nl-BE,7,0,87,0,3
nl-NL,49,0,10135,0,42107
pl-PL,68,0,5750,0,34724
pt-BR,3670,0,348709,0,59514
pt-PT,91,0,384,0,20645
ro-MD,0,0,2,0,0
ro-RO,0,0,269,0,8651
ru-RU,2012,0,9754,0,44139
sc-IT,0,0,2,0,0
sk-SK,0,0,0,0,7239
sq-AL,0,0,5,0,0
sr-RS,0,0,1,0,0
st-ZA,0,0,2,0,0
su-ID,0,0,4,0,0
sv-SE,11,0,37,0,18641
sw-KE,0,0,1,0,0
ta-IN,6,0,41,0,3
te-IN,0,0,15,0,32
th-TH,56,0,88154,0,48083
tl-PH,580,0,2103,0,11525
tn-ZA,0,0,1,0,0
tr-TR,5131,0,172264,0,39279
uk-UA,246,0,2607,0,14627
ur-PK,0,0,5,0,0
vi-VN,87,0,3671,0,50783
war-PH,0,0,6,0,0
yo-NG,0,0,1,0,2
zh-CN,0,0,54,0,298
zh-HK,0,0,2,0,10270
zh-TW,0,0,141,0,10301
zu-ZA,0,0,32,0,0
