MONTH_END_DATE,PRIMARY_PLAN_TYPE,COUNTRY_CODE,Monthly Active Users
2020-01-31,Canva Pro,AD,144
2020-01-31,Canva Pro,AD,92
2020-01-31,Canva Pro - NFP,AD,1
2020-01-31,Education,AD,4
2020-01-31,Free,AD,1161
2020-01-31,Free,AD,823
2020-01-31,Free,AD,1161
2020-01-31,Free,AD,974
2020-02-29,Education,AD,2
2020-02-29,Free,AD,783
2020-03-31,Canva Pro,AD,48
2020-03-31,Canva Pro - NFP,AD,2
2020-03-31,Domain,AD,1
2020-03-31,Education,AD,6
2020-03-31,Education,AD,6
2020-03-31,Education,AD,2
2020-03-31,Free,AD,783
2020-04-30,Canva Pro - NFP,AD,1
2020-04-30,Canva Pro - NFP,AD,1
2020-04-30,Education,AD,2
2020-04-30,Education,AD,5
2020-04-30,Enterprise,AD,1
2020-05-31,Canva Pro,AD,92
2020-05-31,Canva Pro - NFP,AD,1
2020-05-31,Education,AD,10
2020-05-31,Education,AD,10
2020-05-31,Education,AD,1
2020-05-31,Education,AD,1
2020-05-31,Education,AD,2
2020-05-31,Free,AD,842
2020-06-30,Canva for Teams,AD,10
2020-06-30,Canva Pro,AD,94
2020-06-30,Canva Pro - NFP,AD,1
2020-06-30,Canva Pro - NFP,AD,2
2020-07-31,Unknown,AD,1
2020-08-31,Canva Pro,AD,92
2020-08-31,Canva Pro,AD,102
2020-08-31,Education,AD,4
2020-08-31,Education,AD,1
2020-08-31,Free,AD,1161
2020-08-31,Free,AD,1108
2020-09-30,Canva Pro,AD,92
2020-09-30,Canva Pro - NFP,AD,1
2020-09-30,Canva Pro - NFP,AD,2
2020-09-30,Canva Pro - NFP,AD,1
2020-09-30,Education,AD,7
2020-09-30,Free,AD,823
2020-09-30,Unknown,AD,0
2020-10-31,Canva Pro,AD,91
2020-10-31,Canva Pro - NFP,AD,1
2020-10-31,Free,AD,1376
2020-11-30,Canva Pro,AD,92
2020-11-30,Enterprise,AD,1
2020-11-30,Unknown,AD,1
2020-12-31,Canva Pro - NFP,AD,1
2020-12-31,Free,AD,1545
2021-01-31,Canva Pro,AD,144
2021-01-31,Canva Pro,AD,190
2021-01-31,Canva Pro,AD,190
2021-01-31,Education,AD,7
2021-01-31,Free,AD,1260
2021-02-28,Education,AD,5
2021-02-28,Free,AD,1376
2021-03-31,Canva for Teams,AD,14
2021-03-31,Canva Pro,AD,188
2021-03-31,Canva Pro - NFP,AD,1
2021-03-31,Canva Pro - NFP,AD,1
2021-03-31,Free,AD,1133
2021-03-31,Free,AD,1396
2021-04-30,Canva for Teams,AD,14
2021-04-30,Canva Pro - NFP,AD,2
2021-04-30,Education,AD,23
2021-04-30,Unknown,AD,1
2021-05-31,Canva for Teams,AD,14
2021-05-31,Canva Pro,AD,190
2021-05-31,Canva Pro,AD,174
2021-05-31,Canva Pro,AD,188
2021-05-31,Canva Pro - NFP,AD,0
2021-05-31,Education,AD,23
2021-05-31,Enterprise,AD,0
2021-05-31,Free,AD,1133
2021-06-30,Canva Pro,AD,188
2021-06-30,Canva Pro,AD,190
2021-06-30,Canva Pro - NFP,AD,1
2021-06-30,Domain,AD,0
2021-06-30,Domain,AD,1
2021-06-30,Education,AD,23
2021-06-30,Education,AD,23
2021-06-30,Free,AD,1379
2021-07-31,Canva Pro,AD,200
2021-07-31,Canva Pro,AD,180
2021-07-31,Canva Pro,AD,141
2021-07-31,Education,AD,19
2021-07-31,Education,AD,17
