Country,High,Mid,Low,Unknown,Total
Afghanistan,6491,6277,1948,554,15270
Åland Islands,197,30,2,32,261
Albania,23814,3914,432,1958,30118
Algeria,85198,76059,29307,6684,197248
American Samoa,407,115,9,94,625
Andorra,3565,694,33,588,4880
Angola,16471,25075,16026,2927,60499
Anguilla,406,82,15,59,562
Antarctica,,0,,1,1
Antigua and Barbuda,2452,559,174,272,3457
Argentina,1736211,790760,215116,99421,2841508
Armenia,22116,4305,778,3079,30278
Aruba,3707,711,168,497,5083
Australia,713311,84232,5977,151862,955382
Austria,95083,13338,831,15873,125125
Azerbaijan,47274,17619,2693,3942,71528
Bahrain,28405,10173,709,4589,43876
Bangladesh,225704,215528,42626,10731,494589
Barbados,5242,1371,302,680,7595
Belarus,36971,11162,487,4307,52927
Belgium,208301,31629,2171,46421,288522
Belize,6185,3000,1113,1831,12129
Benin,7158,10990,5048,1037,24233
Bermuda,1428,154,10,369,1961
Bhutan,2732,2223,438,802,6195
Bolivia,183566,169298,29133,7976,389973
Bonaire Sint Eustatius Saba,871,115,23,113,1122
Bosnia and Herzegovina,13320,3362,331,2125,19138
Botswana,4862,5513,1929,877,13181
Bouvet Island,0,,,,0
Brazil,7328126,4034362,518446,480052,12360986
British Indian Ocean Territory,12,4,0,2,18
Brunei,21593,8920,963,2739,34215
Bulgaria,42183,11311,794,5950,60238
Burkina Faso,7537,12316,4624,458,24935
Burundi,728,845,395,61,2029
Cabo Verde,1554,1081,241,232,3108
Cambodia,49812,20456,1166,8911,80345
Cameroon,18122,20516,7933,2055,48626
Canada,848126,101632,6926,182755,1139439
Cayman Islands,2092,390,52,348,2882
Central African Republic,210,314,73,20,617
Chad,1630,2022,640,92,4384
Chile,707235,318468,33587,92131,1151421
China,19090,2592,274,1737,23693
Colombia,1145599,758317,128120,157340,2189376
Comoros,497,471,165,67,1200
Cook Islands,337,87,4,54,482
Costa Rica,217901,49511,10324,20388,298124
Croatia,37416,4351,222,4939,46928
Cuba,7626,7101,3188,629,18544
Curaçao,5818,1047,219,576,7660
Cyprus,20324,2941,219,3577,27061
Czech Republic,108823,18096,1599,19617,148135
Democratic Republic of the Congo,10954,19481,6771,1313,38519
Denmark,42172,4471,259,9032,55934
Djibouti,724,465,127,92,1408
Dominica,1605,437,172,141,2355
Dominican Republic,159719,102200,26169,27857,315945
East Timor,1512,1513,378,207,3610
Ecuador,327438,200258,27533,29374,584603
Egypt,317156,251659,44856,24582,638253
El Salvador,130963,37990,16748,9969,195670
Equatorial Guinea,404,537,148,63,1152
Eritrea,16,7,4,,27
Estonia,14823,2177,187,3193,20380
Ethiopia,21392,18657,8323,1165,49537
Falkland Islands,26,3,1,4,34
Faroe Islands,467,50,2,64,583
Fiji,3379,1388,435,349,5551
Finland,75212,11135,1046,12467,99860
France,1957504,315089,37104,291959,2601656
French Guiana,5626,1403,161,717,7907
French Polynesia,6189,2146,368,1073,9776
Gabon,3507,4743,1176,587,10013
Gambia,1669,1343,502,182,3696
Georgia,22034,3604,269,3583,29490
Germany,1080413,164217,13991,111759,1370380
Ghana,26383,33351,11685,4972,76391
Gibraltar,1097,92,6,138,1333
Greece,72070,13338,860,9558,95826
Greenland,697,62,2,93,854
Grenada,1350,374,125,175,2024
Guadeloupe,14002,2700,344,2235,19281
Guam,7265,658,80,1532,9535
Guatemala,282224,90037,25816,26635,424712
Guernsey,827,79,6,174,1086
Guinea,4936,3855,1135,367,10293
Guinea Bissau,464,488,144,25,1121
Guyana,7082,2159,489,804,10534
Haiti,10310,14068,5919,909,31206
Holy See,19,4,,3,26
Honduras,116420,46086,10674,10726,183906
Hong Kong,150128,14179,868,29440,194615
Hungary,53844,8387,568,10852,73651
Iceland,7689,1233,33,1679,10634
India,4599063,1613167,292032,258900,6763162
Indonesia,4159377,5207884,1070276,379739,10817276
Iran,96260,50939,15881,4991,168071
Iraq,96877,58059,7153,7498,169587
Ireland,78944,12969,976,15953,108842
Isle of Man,1620,171,12,275,2078
Israel,282932,25876,2009,25316,336133
Italy,770531,198663,16931,150602,1136727
Ivory Coast,31174,24962,7773,2534,66443
Jamaica,25337,12864,3553,4905,46659
Japan,1174233,233221,9852,247408,1664714
Jersey,1962,198,7,360,2527
Jordan,44759,27945,5554,6311,84569
Kazakhstan,203504,50475,5153,24548,283680
Kenya,48756,44240,15718,3501,112215
Kiribati,54,50,5,9,118
Kosovo,8382,1785,142,1127,11436
Kuwait,59243,9853,648,4677,74421
Kyrgyzstan,41195,13061,1994,2882,59132
Laos,14921,5629,672,1702,22924
Latvia,24045,2675,171,5165,32056
Lebanon,41562,15509,2168,5734,64973
Lesotho,1062,1478,859,116,3515
Liberia,1828,1995,428,239,4490
Libya,27275,19869,3097,2818,53059
Liechtenstein,710,117,8,81,916
Lithuania,30295,3946,229,4923,39393
Luxembourg,12863,1079,91,1612,15645
Macao,9745,1430,91,1829,13095
Macedonia,9213,1840,149,1129,12331
Madagascar,15234,12432,3465,995,32126
Malawi,2923,2829,1711,219,7682
Malaysia,1172944,438258,57534,148641,1817377
Maldives,8777,1999,332,1690,12798
Mali,10525,8371,2206,553,21655
Malta,10460,1382,131,1350,13323
